adj.几个；一些，有些；某（人或物）；pron.一些,some,[səm],http://sound.yywz123.com/qsbdcword/s/some.mp3
adj.空闲的，多余的,spare,[speə(r)],http://sound.yywz123.com/qsbdcword/s/spare.mp3
vt.需要，想要；vi.需要；缺少；n.需要；缺乏；贫困；必需品,want,[wɒnt],http://sound.yywz123.com/qsbdcword/w/want.mp3
n.带子，胶布；磁带；vt.用带子捆；录音，录像；vi.用磁带录音,tape,[teɪp],http://sound.yywz123.com/qsbdcword/t/tape.mp3
vi.（for）等待，（on）侍候；vt. 等候；推迟；n.等候，等待时间,wait,[weɪt],http://sound.yywz123.com/qsbdcword/w/wait.mp3
n.游泳；vi.游泳；漂浮；vt.游过；使浮起,swim,[swɪm],http://sound.yywz123.com/qsbdcword/s/swim.mp3
n.（影、剧、车）票,ticket,[ˈtɪkɪt],http://sound.yywz123.com/qsbdcword/t/ticket.mp3
n.游泳,swimming,[ˈswɪmɪŋ],http://sound.yywz123.com/qsbdcword/s/swimming.mp3
n.先生，长官；（S -用于姓名前）…爵士,sir,[sɜ:(r)],http://sound.yywz123.com/qsbdcword/s/sir.mp3
pron.他们，她们，它们（they的宾格形式）,them,[ðəm],http://sound.yywz123.com/qsbdcword/t/them.mp3
adj.便宜的，廉价的；低劣的，劣质的,cheap,[tʃi:p],http://sound.yywz123.com/qsbdcword/c/cheap.mp3
n.啤酒,beer,[bɪə(r)],http://sound.yywz123.com/qsbdcword/b/beer.mp3
n.鸡肉；鸡，小鸡，小鸟,chicken,[ˈtʃɪkɪn],http://sound.yywz123.com/qsbdcword/c/chicken.mp3
n.瓶子,bottle,[ˈbɒtl],http://sound.yywz123.com/qsbdcword/b/bottle.mp3
n.面包,bread,[bred],http://sound.yywz123.com/qsbdcword/b/bread.mp3
n.咖啡，咖啡豆，咖啡色,coffee,[ˈkɒfi],http://sound.yywz123.com/qsbdcword/c/coffee.mp3
n.晚上，傍晚，黄昏,evening,[ˈi:vnɪŋ],http://sound.yywz123.com/qsbdcword/e/evening.mp3
num.十八，十八个,eighteen,[ˌeɪˈti:n],http://sound.yywz123.com/qsbdcword/e/eighteen.mp3
adj.早（期）的，在前的；早熟的；adv.在早期；早,early,[ˈɜ:li],http://sound.yywz123.com/qsbdcword/e/early.mp3
num.五十，五十个,fifty,[ˈfɪfti],http://sound.yywz123.com/qsbdcword/f/fifty.mp3
num.四十，第四十,forty,[ˈfɔ:ti],http://sound.yywz123.com/qsbdcword/f/forty.mp3
n.足球，橄榄球,football,[ˈfʊtbɔ:l],http://sound.yywz123.com/qsbdcword/f/football.mp3
n.祖母，外祖母；老奶奶（=grandma）,granny,['ɡrænɪ],http://sound.yywz123.com/qsbdcword/g/granny.mp3
v.帮助，帮忙,help,[help],http://sound.yywz123.com/qsbdcword/h/help.mp3
n.冰淇淋,ice-cream,['aɪskri:m],http://sound.yywz123.com/qsbdcword/i/ice-cream.mp3
n.花园，果园，菜园,garden,[ˈgɑ:dn],http://sound.yywz123.com/qsbdcword/g/garden.mp3
n.胶，胶水；vt.胶合,glue,[glu:],http://sound.yywz123.com/qsbdcword/g/glue.mp3
n.墨水，油墨,ink,[ɪŋk],http://sound.yywz123.com/qsbdcword/i/ink.mp3
n.玻璃，玻璃杯；pl.眼镜；玻璃制品,glass,[glɑ:s],http://sound.yywz123.com/qsbdcword/g/glass.mp3
n.冰；矜持；vt.冰冻，结冰；vi. 结冰,ice,[aɪs],http://sound.yywz123.com/qsbdcword/i/ice.mp3
adv./pron.何时；当时；conj.那时；然后；而,when,[wen],http://sound.yywz123.com/qsbdcword/w/when.mp3
adj.健康的，良好的，适宜的；adv.很好地，适当地；n.井，源泉,well,[wel],http://sound.yywz123.com/qsbdcword/w/well.mp3
n.(餐厅)服务员，侍者,waiter,[ˈweɪtə(r)],http://sound.yywz123.com/qsbdcword/w/waiter.mp3
adj.年轻的，幼小的；没经验的；n.青年人,young,[jʌŋ],http://sound.yywz123.com/qsbdcword/y/young.mp3
n.动物，兽，畜生,animal,[ˈænɪml],http://sound.yywz123.com/qsbdcword/a/animal.mp3
n.司机，驾驶员,driver,[ˈdraɪvə(r)],http://sound.yywz123.com/qsbdcword/d/driver.mp3
n.词，单词，话语，消息，诺言；vt.用词，措辞,word,[wɜ:d],http://sound.yywz123.com/qsbdcword/w/word.mp3
n.卡片，纸牌，名片,card,[kɑ:d],http://sound.yywz123.com/qsbdcword/c/card.mp3
n.（=grandpa）外公，爷爷,grandfather,[ˈgrænfɑ:ðə(r)],http://sound.yywz123.com/qsbdcword/g/grandfather.mp3
n.蜜蜂,bee,[bi:],http://sound.yywz123.com/qsbdcword/b/bee.mp3
n.（=grandma）奶奶，外婆,grandmother,[ˈgrænmʌðə(r)],http://sound.yywz123.com/qsbdcword/g/grandmother.mp3
n.蝴蝶,butterfly,[ˈbʌtəflaɪ],http://sound.yywz123.com/qsbdcword/b/butterfly.mp3
v.试，尝试，试图,try,[traɪ],http://sound.yywz123.com/qsbdcword/t/try.mp3
n.青蛙，蛤蟆,frog,[frɒg],http://sound.yywz123.com/qsbdcword/f/frog.mp3
adv.出去；离家；突出来；adj.外面的，往外去的,out,[aʊt],http://sound.yywz123.com/qsbdcword/o/out.mp3
vt.跟随，追赶，追逐,follow,[ˈfɒləʊ],http://sound.yywz123.com/qsbdcword/f/follow.mp3
n.厨师；vt.烹调，烧煮；纂改（账目），捏造；vi. 烹调，做菜,cook,[kʊk],http://sound.yywz123.com/qsbdcword/c/cook.mp3
n.送牛奶的人,milkman,[ˈmɪlkmən],http://sound.yywz123.com/qsbdcword/m/milkman.mp3
n.医生；博士；vt.篡改，对…做手脚,doctor,[ˈdɒktə(r)],http://sound.yywz123.com/qsbdcword/d/doctor.mp3
n.农夫，农场主，牧场主,farmer,[ˈfɑ:mə(r)],http://sound.yywz123.com/qsbdcword/f/farmer.mp3
pron.他的（所有物）,his,[hɪz],http://sound.yywz123.com/qsbdcword/h/his.mp3
pron.它的（it的所有格）,its,[ɪts],http://sound.yywz123.com/qsbdcword/i/its.mp3
adj.有病的；坏的；恶意的；adv.坏地；不利地,ill,[ɪl],http://sound.yywz123.com/qsbdcword/i/ill.mp3
adv.这里；此刻，这时,here,[hɪə(r)],http://sound.yywz123.com/qsbdcword/h/here.mp3
n.（口语）妈妈；adj.沉默的,mum,[mʌm],http://sound.yywz123.com/qsbdcword/m/mum.mp3
v./aux.可能；可以；祝,may,[meɪ],http://sound.yywz123.com/qsbdcword/m/may.mp3
adj.好的，漂亮的；美好的；令人愉快的,nice,[naɪs],http://sound.yywz123.com/qsbdcword/n/nice.mp3
prep.（表示方向）越过；（部份或全部覆盖）在…上面；由于；（表示论及）关于；adv.结束；再；（倒）下；从一边至另一边；adj.过去的；外面的；在上的；上级的；n.额外；剩余；剩余（或多余）的量；剩余物,over,[ˈəʊvə(r)],http://sound.yywz123.com/qsbdcword/o/over.mp3
adj.中间的，中等的,middle,[ˈmɪdl],http://sound.yywz123.com/qsbdcword/m/middle.mp3
pron.我们的（we的所有格）,our,[ɑ:(r)],http://sound.yywz123.com/qsbdcword/o/our.mp3
adv.请；vt.使高兴，合...的心意，取悦；vi.使人满意，讨好；愿意；敬请,please,[pli:z],http://sound.yywz123.com/qsbdcword/p/please.mp3
n.公园；v.停放（车辆）,park,[pɑ:k],http://sound.yywz123.com/qsbdcword/p/park.mp3
adj.右的；正确的；n.右；权利；adv.对；vt.纠正,right,[raɪt],http://sound.yywz123.com/qsbdcword/r/right.mp3
pron.她（主格）,she,[ʃi],http://sound.yywz123.com/qsbdcword/s/she.mp3
n.姐妹；姐，妹；护士长；修女；女教士,sister,[ˈsɪstə(r)],http://sound.yywz123.com/qsbdcword/s/sister.mp3
num.十二，十二个,twelve,[twelv],http://sound.yywz123.com/qsbdcword/t/twelve.mp3
n.星期日，礼拜日,Sunday,[ˈsʌndeɪ],http://sound.yywz123.com/qsbdcword/S/Sunday.mp3
pron.我们（we的宾格）,us,[əs],http://sound.yywz123.com/qsbdcword/u/us.mp3
n.学校；学院；学派,school,[sku:l],http://sound.yywz123.com/qsbdcword/s/school.mp3
vt.看见；遇见；看出,see,[si:],http://sound.yywz123.com/qsbdcword/s/see.mp3
vi./n.（蹦）跳；跳绳；vt.跳过，漏过,skip,[skɪp],http://sound.yywz123.com/qsbdcword/s/skip.mp3
n.秋千；摇摆；vi.摇摆；转向；悬挂；vt.使旋转；挥舞；悬挂；,swing,[swɪŋ],http://sound.yywz123.com/qsbdcword/s/swing.mp3
n.灯，灯泡；电子管,lamp,[læmp],http://sound.yywz123.com/qsbdcword/l/lamp.mp3
n.攀登，爬；v.爬；攀登；上升,climb,[klaɪm],http://sound.yywz123.com/qsbdcword/c/climb.mp3
n.橡皮擦；橡胶（制品）；（pl.）胶鞋；adj.橡胶的,rubber,[ˈrʌbə(r)],http://sound.yywz123.com/qsbdcword/r/rubber.mp3
vi.飞；乘飞机；vt.驾驶(飞机)；放（风筝）；飘扬，逃跑；n.苍蝇,fly,[flaɪ],http://sound.yywz123.com/qsbdcword/f/fly.mp3
adj.不干净的；vt.弄脏,dirty,[ˈdɜ:ti],http://sound.yywz123.com/qsbdcword/d/dirty.mp3
v. 骑；乘；n. 交通工具；骑；乘车；搭便车,ride,[raɪd],http://sound.yywz123.com/qsbdcword/r/ride.mp3
adj.甜的，可爱的，悦耳的；n.糖果，甜点（常用复数sweets）,sweet,[swi:t],http://sound.yywz123.com/qsbdcword/s/sweet.mp3
n.洗；洗的衣物；vt.冲刷，洗；冲出；vi.洗澡,wash,[wɒʃ],http://sound.yywz123.com/qsbdcword/w/wash.mp3
n.毛巾；vi.用毛巾擦；vt.用毛巾擦或擦干,towel,[ˈtaʊəl],http://sound.yywz123.com/qsbdcword/t/towel.mp3
n.伞，雨伞，保护伞；adj.伞的，机构庞大的；vt.用伞遮盖,umbrella,[ʌmˈbrelə],http://sound.yywz123.com/qsbdcword/u/umbrella.mp3
n.肥皂；vt.用肥皂洗，阿谀奉承,soap,[səʊp],http://sound.yywz123.com/qsbdcword/s/soap.mp3
n.盘子，碟子,plate,[pleɪt],http://sound.yywz123.com/qsbdcword/p/plate.mp3
n.叉，叉状物；vt.叉起，耙，成叉状；vi.分叉；分歧,fork,[fɔ:k],http://sound.yywz123.com/qsbdcword/f/fork.mp3
"n.云，云状物；一团；阴影
",cloud,[klaʊd],http://sound.yywz123.com/qsbdcword/c/cloud.mp3
n.小刀，匕首；vt.用刀切割，伤害，切，戳；vi.劈开，穿过,knife,[naɪf],http://sound.yywz123.com/qsbdcword/k/knife.mp3
n.匙，汤匙，调羹,spoon,[spu:n],http://sound.yywz123.com/qsbdcword/s/spoon.mp3
adj.热的，炎热的；辣的；性感的,hot,[hɒt],http://sound.yywz123.com/qsbdcword/h/hot.mp3
n.筷子（chopstick的复数）,chopsticks,['tʃɒpstɪks],http://sound.yywz123.com/qsbdcword/c/chopsticks.mp3
n．天，日；白天；节日,day,[deɪ],http://sound.yywz123.com/qsbdcword/d/day.mp3
adv.在今天；现今，在当代；n.今天；现在,today,[təˈdeɪ],http://sound.yywz123.com/qsbdcword/t/today.mp3
adj.大的,big,[bɪg],http://sound.yywz123.com/qsbdcword/b/big.mp3
adv.很，十分，非常,very,[ˈveri],http://sound.yywz123.com/qsbdcword/v/very.mp3
n.途径，通行，及格；v.经过，消逝，传递,pass,[pɑ:s],http://sound.yywz123.com/qsbdcword/p/pass.mp3
n.太阳；vt.晒太阳,sun,[sʌn],http://sound.yywz123.com/qsbdcword/s/sun.mp3
n.天气，气候，气象；v.经历...而幸存,weather,[ˈweðə(r)],http://sound.yywz123.com/qsbdcword/w/weather.mp3
adj.对不起的，抱歉的,sorry,[ˈsɒri],http://sound.yywz123.com/qsbdcword/s/sorry.mp3
pron．我们（主格）,we,[wi],http://sound.yywz123.com/qsbdcword/w/we.mp3
adj.左边的，左侧的，左派的；adv.在左面；n.左边，左派；v.离开（leave的过去式和过去分词）,left,[left],http://sound.yywz123.com/qsbdcword/l/left.mp3
n.墙壁，围墙，城墙,wall,[wɔ:l],http://sound.yywz123.com/qsbdcword/w/wall.mp3
n.星期一,Monday,[ˈmʌndeɪ],http://sound.yywz123.com/qsbdcword/M/Monday.mp3
prep.在...上；由...支撑着；关于；adv.向前；靠近；穿着；adj.已连接、处于工作状态或使用中；发生 ,on,[ɒn],http://sound.yywz123.com/qsbdcword/o/on.mp3
n.湖泊，湖水,lake,[leɪk],http://sound.yywz123.com/qsbdcword/l/lake.mp3
pron./adj.那些（that的复数）,those,[ðəʊz],http://sound.yywz123.com/qsbdcword/t/those.mp3
n.小山，丘陵，小土堆；vt.作成土堆，堆成小丘,hill,[hɪl],http://sound.yywz123.com/qsbdcword/h/hill.mp3
vt.喜欢；prep.像，比如；adj.相像的；n.像...一样,like,[laɪk],http://sound.yywz123.com/qsbdcword/l/like.mp3
n.工人，工作者，工作人员,worker,[ˈwɜ:kə(r)],http://sound.yywz123.com/qsbdcword/w/worker.mp3
adj.快乐的，幸福的；乐意的；令人满意的,happy,[ˈhæpi],http://sound.yywz123.com/qsbdcword/h/happy.mp3
n.时间，期限，次数，乘； vt.为...安排时间，计时，乘；adj.根据时间的,time,[taɪm],http://sound.yywz123.com/qsbdcword/t/time.mp3
vt.&vi.赶紧，赶忙,hurry,[ˈhʌri],http://sound.yywz123.com/qsbdcword/h/hurry.mp3
（=let us）让我们,let's,[lets],http://sound.yywz123.com/qsbdcword/l/let's.mp3
n.字母，信,letter,[ˈletə(r)],http://sound.yywz123.com/qsbdcword/l/letter.mp3
adj.迟的，晚的；已故的；adv.很晚，很迟，晚,late,[leɪt],http://sound.yywz123.com/qsbdcword/l/late.mp3
n.牛奶,milk,[mɪlk],http://sound.yywz123.com/qsbdcword/m/milk.mp3
n.报纸；新闻纸,newspaper,[ˈnju:zpeɪpə(r)],http://sound.yywz123.com/qsbdcword/n/newspaper.mp3
n.先生（用于姓名前）,Mr.,[ˈmɪstə],http://sound.yywz123.com/qsbdcword/M/Mr..mp3
n.护士；褓姆，奶妈；vt.&vi.看护，照顾；栽培,nurse,[nɜ:s],http://sound.yywz123.com/qsbdcword/n/nurse.mp3
adv.可能，大概，也许,maybe,[ˈmeɪbi],http://sound.yywz123.com/qsbdcword/m/maybe.mp3
n.办公室，办事处，事务所；职务，职责，功能,office,[ˈɒfɪs],http://sound.yywz123.com/qsbdcword/o/office.mp3
n.学生，小学生；瞳孔,pupil,[ˈpju:pl],http://sound.yywz123.com/qsbdcword/p/pupil.mp3
n.问题，疑问，疑问句；vt.&vi.询问，审问，怀疑,question,[ˈkwestʃən],http://sound.yywz123.com/qsbdcword/q/question.mp3
n.熊猫,panda,[ˈpændə],http://sound.yywz123.com/qsbdcword/p/panda.mp3
n.房间，空间,room,[ru:m],http://sound.yywz123.com/qsbdcword/r/room.mp3
n.海，海洋，海浪，大量,sea,[si:],http://sound.yywz123.com/qsbdcword/s/sea.mp3
n.茶，茶叶,tea,[ti:],http://sound.yywz123.com/qsbdcword/t/tea.mp3
n.出租汽车,taxi,[ˈtæksi],http://sound.yywz123.com/qsbdcword/t/taxi.mp3
n.（=television）电视，电视机,TV,[ˌti: ˈvi:],http://sound.yywz123.com/qsbdcword/T/TV.mp3
adj.相同的，同样的；pron.相同的人或事物；adv.同样地,same,[seɪm],http://sound.yywz123.com/qsbdcword/s/same.mp3
n.电话，电话机；vi.打电话；vt.打电话给,telephone,[ˈtelɪfəʊn],http://sound.yywz123.com/qsbdcword/t/telephone.mp3
adv.通常，平常，一般,usually,[ˈju:ʒuəli],http://sound.yywz123.com/qsbdcword/u/usually.mp3
n.元(中国货币单位),yuan,[juˈɑ:n],http://sound.yywz123.com/qsbdcword/y/yuan.mp3
n.美国，美洲,America,[ə'merɪkə],http://sound.yywz123.com/qsbdcword/A/America.mp3
n.澳洲，澳大利亚,Australia,[ɒ'streɪlɪə],http://sound.yywz123.com/qsbdcword/A/Australia.mp3
adv.大约；prep.关于,about,[əˈbaʊt],http://sound.yywz123.com/qsbdcword/a/about.mp3
adj.害怕的，恐惧的；犯愁的，不乐意的,afraid,[əˈfreɪd],http://sound.yywz123.com/qsbdcword/a/afraid.mp3
n.下午，午后,afternoon,[ˌɑ:ftəˈnu:n],http://sound.yywz123.com/qsbdcword/a/afternoon.mp3
n.早餐,breakfast,[ˈbrekfəst],http://sound.yywz123.com/qsbdcword/b/breakfast.mp3
conj.但是；prep.除...以外；adv.只，才，仅仅,but,[bət],http://sound.yywz123.com/qsbdcword/b/but.mp3
prep.在...以后；在...后面；adv.以后，后来,after,[ˈɑ:ftə(r)],http://sound.yywz123.com/qsbdcword/a/after.mp3
vt.买，购买；vi.买，采购；n. 购买，买卖,buy,[baɪ],http://sound.yywz123.com/qsbdcword/b/buy.mp3
vt.打扫；vi. 打扫，清扫；adj.清洁的，干净的,clean,[kli:n],http://sound.yywz123.com/qsbdcword/c/clean.mp3
adj.明亮的；聪明的,bright,[braɪt],http://sound.yywz123.com/qsbdcword/b/bright.mp3
adj.任何的；所有的,any,[ˈeni],http://sound.yywz123.com/qsbdcword/a/any.mp3
n.象棋，国际象棋,chess,[tʃes],http://sound.yywz123.com/qsbdcword/c/chess.mp3
adv.也，亦；并且；同样；而且，还,also,[ˈɔ:lsəʊ],http://sound.yywz123.com/qsbdcword/a/also.mp3
n.刷子，毛刷；画笔；vt.刷，擦；vi. 刷；擦过,brush,[brʌʃ],http://sound.yywz123.com/qsbdcword/b/brush.mp3
vt.收集，搜集，收藏;vi. 收集；聚集；募捐,collect,[kəˈlekt],http://sound.yywz123.com/qsbdcword/c/collect.mp3
adj.最好的（good和well最高级）；adv.最好地；最,best,[best],http://sound.yywz123.com/qsbdcword/b/best.mp3
n.圆珠笔,ball-pen,[bɔ:l pen],http://sound.yywz123.com/qsbdcword/b/ball-pen.mp3
n.行为，行动，法案；v.行动，扮演，下判决,act,[ækt],http://sound.yywz123.com/qsbdcword/a/act.mp3
n.斑马，斑马线,zebra,[ˈzebrə],http://sound.yywz123.com/qsbdcword/z/zebra.mp3
n.姨母，姑母，伯母，婶母，舅母，阿姨,aunt,[ɑ:nt],http://sound.yywz123.com/qsbdcword/a/aunt.mp3
n.圆，圈，环,circle,[ˈsɜ:kl],http://sound.yywz123.com/qsbdcword/c/circle.mp3
（=can not）不能；不,can't,[kɑ:nt],http://sound.yywz123.com/qsbdcword/c/can't.mp3
prep.是(原形),be,[bi],http://sound.yywz123.com/qsbdcword/b/be.mp3
prep.在…旁边，在…附近；和…相比,beside,[bɪˈsaɪd],http://sound.yywz123.com/qsbdcword/b/beside.mp3
vt.数（数目），点（数）；vi. 计数；有价值,count,[kaʊnt],http://sound.yywz123.com/qsbdcword/c/count.mp3
n.颜色，面色，颜料，外貌；vt.把...涂上颜色，粉饰，使脸红，歪曲；vi.变色,colour,[ˈkʌlə(r)],http://sound.yywz123.com/qsbdcword/c/colour.mp3
adj.褐色的，棕色的；n.褐色，棕色；（姓）布朗,brown,[braʊn],http://sound.yywz123.com/qsbdcword/b/brown.mp3
n.圣诞节,Christmas,[ˈkrɪsməs],http://sound.yywz123.com/qsbdcword/C/Christmas.mp3
n.生日，诞生日,birthday,[ˈbɜ:θdeɪ],http://sound.yywz123.com/qsbdcword/b/birthday.mp3
n.橡皮擦，黑板擦,eraser,[ɪˈreɪzə(r)],http://sound.yywz123.com/qsbdcword/e/eraser.mp3
n.狐狸，狡猾的人；vt.奸狡地行动；vi. 假装；耍狡猾手段,fox,[fɒks],http://sound.yywz123.com/qsbdcword/f/fox.mp3
vt.找到；发现；vi.裁决；n.发现,find,[faɪnd],http://sound.yywz123.com/qsbdcword/f/find.mp3
n.(=grandmother)祖母；外祖母,grandma,[ˈgrænmɑ:],http://sound.yywz123.com/qsbdcword/g/grandma.mp3
n.(=grandfather)祖父；外祖父,grandpa,[ˈgrænpɑ:],http://sound.yywz123.com/qsbdcword/g/grandpa.mp3
n.马；vt.使骑马；捉弄；vi.骑马；作弄人,horse,[hɔ:s],http://sound.yywz123.com/qsbdcword/h/horse.mp3
n.礼物，礼品；天赋，才能；vt.赠送，授予，使有天赋,gift,[gɪft],http://sound.yywz123.com/qsbdcword/g/gift.mp3
int.嗨！喂！（唤起注意，表示惊讶或询问）,hi,[haɪ],http://sound.yywz123.com/qsbdcword/h/hi.mp3
vt.（使）转动，（使）旋转；（使）变化；vi. 转向；转变；n. 转弯；变化,turn,[tɜ:n],http://sound.yywz123.com/qsbdcword/t/turn.mp3
vi. 听，倾听，收听，聆听，听取,listen,[ˈlɪsn],http://sound.yywz123.com/qsbdcword/l/listen.mp3
vt.告诉，讲述；告诫；吩咐，命令；辨/区别；vi.讲述；告发，泄密；识别,tell,[tel],http://sound.yywz123.com/qsbdcword/t/tell.mp3
（=Coca-Cola）n.（口语）可口可乐,Coke,[kəʊk],http://sound.yywz123.com/qsbdcword/C/Coke.mp3
"vt.&vi.（drank,drunk）喝，饮；n.饮料；喝酒",drink,[drɪŋk],http://sound.yywz123.com/qsbdcword/d/drink.mp3
vt.吃，喝；vi.吃饭，吃东西,eat,[i:t],http://sound.yywz123.com/qsbdcword/e/eat.mp3
n.（水果、蔬菜、肉等的）汁；果汁,juice,[dʒu:s],http://sound.yywz123.com/qsbdcword/j/juice.mp3
n.(猪、牛、羊等的)肉,meat,[mi:t],http://sound.yywz123.com/qsbdcword/m/meat.mp3
n.（常用复数noodles）面，面条,noodle,[ˈnu:dl],http://sound.yywz123.com/qsbdcword/n/noodle.mp3
n.意大利肉饼，比萨饼,pizza,[ˈpi:tsə],http://sound.yywz123.com/qsbdcword/p/pizza.mp3
n.领带；平局；vt.系，打结；与…成平局；vi.打结；不分胜负,tie,[taɪ],http://sound.yywz123.com/qsbdcword/t/tie.mp3
n.道路，公路,road,[rəʊd],http://sound.yywz123.com/qsbdcword/r/road.mp3
n.建筑物，大楼；建筑,building,[ˈbɪldɪŋ],http://sound.yywz123.com/qsbdcword/b/building.mp3
n.（英）饼干；（美）软饼,biscuit,[ˈbɪskɪt],http://sound.yywz123.com/qsbdcword/b/biscuit.mp3
n.火车,train,[treɪn],http://sound.yywz123.com/qsbdcword/t/train.mp3
n.运货车，（载客的）面包车，厢式货车,van,[væn],http://sound.yywz123.com/qsbdcword/v/van.mp3
n.长城,Great Wall,[],http://sound.yywz123.com/qsbdcword/G/Great Wall.mp3
n.光，光亮，灯；adj.轻的，光亮的，容易的；v.点燃，着火，变亮,light,[laɪt],http://sound.yywz123.com/qsbdcword/l/light.mp3
adj.快的，迅速的；坚固的；adv.紧紧地；迅速地,fast,[fɑ:st],http://sound.yywz123.com/qsbdcword/f/fast.mp3
adj.（缓）慢的；迟钝的；vt.（使）放慢；（使）减速；vi. 变慢；变萧条,slow,[sləʊ],http://sound.yywz123.com/qsbdcword/s/slow.mp3
n.收音机；无线电报，无线电话；vi.用无线电进行通信；vt.用无线电发送,radio,[ˈreɪdiəʊ],http://sound.yywz123.com/qsbdcword/r/radio.mp3
n.季节，时期；vt.调味，使...适用；vi 变得成熟；变干燥,season,[ˈsi:zn],http://sound.yywz123.com/qsbdcword/s/season.mp3
n.春天，春季,spring,[sprɪŋ],http://sound.yywz123.com/qsbdcword/s/spring.mp3
adj.温暖的，暖和的,warm,[wɔ:m],http://sound.yywz123.com/qsbdcword/w/warm.mp3
adj.湿的；n.潮气，雨；vt.（使）弄湿；vi.变湿,wet,[wet],http://sound.yywz123.com/qsbdcword/w/wet.mp3
n.同班同学,classmate,[ˈklɑ:smeɪt],http://sound.yywz123.com/qsbdcword/c/classmate.mp3
prep.（表示动作的方向）到...里面,into,[ˈɪntə],http://sound.yywz123.com/qsbdcword/i/into.mp3
n.答案；回答；vt.回答；vi.回答；符合,answer,[ˈɑ:nsə(r)],http://sound.yywz123.com/qsbdcword/a/answer.mp3
n.油漆；颜料；vt.涂颜色；绘画；vi.油漆；描绘；绘画；化妆,paint,[peɪnt],http://sound.yywz123.com/qsbdcword/p/paint.mp3
vt.拿来；取来；带来,bring,[brɪŋ],http://sound.yywz123.com/qsbdcword/b/bring.mp3
n.价钱，费用，成本；损失，牺牲,cost,[kɒst],http://sound.yywz123.com/qsbdcword/c/cost.mp3
n.手指；vt.用指触摸，抚摸,finger,[ˈfɪŋgə(r)],http://sound.yywz123.com/qsbdcword/f/finger.mp3
n.火；火灾，失火；炉火；vi.开火；vt.放(枪),fire,[ˈfaɪə(r)],http://sound.yywz123.com/qsbdcword/f/fire.mp3
n.（[pl.]feet）脚，足；英尺；底部,foot,[fʊt],http://sound.yywz123.com/qsbdcword/f/foot.mp3
n.膝部，膝盖；vt.用膝盖碰,knee,[ni:],http://sound.yywz123.com/qsbdcword/k/knee.mp3
adj.生气的，愤怒的；（天气）风雨交加的,angry,[ˈæŋgri],http://sound.yywz123.com/qsbdcword/a/angry.mp3
n.警察（复数为policemen）,policeman,[pəˈli:smən],http://sound.yywz123.com/qsbdcword/p/policeman.mp3
adj.满的，饱,full,[fʊl],http://sound.yywz123.com/qsbdcword/f/full.mp3
adv.周围；adj.圆的；球形的,round,[raʊnd],http://sound.yywz123.com/qsbdcword/r/round.mp3
adj.疲劳的，累的,tired,[ˈtaɪəd],http://sound.yywz123.com/qsbdcword/t/tired.mp3
n.操场，运动场,playground,[ˈpleɪgraʊnd],http://sound.yywz123.com/qsbdcword/p/playground.mp3
n.厕所，盥洗室；抽水马桶,toilet,[ˈtɔɪlət],http://sound.yywz123.com/qsbdcword/t/toilet.mp3
n.点，要点，尖端，细节，目标；vt.指出，瞄准；vi.表明；指向,point,[pɔɪnt],http://sound.yywz123.com/qsbdcword/p/point.mp3
n.大门；出入口,gate,[geɪt],http://sound.yywz123.com/qsbdcword/g/gate.mp3
adj.很少的，不多的，少数的；int.少数的,few,[fju:],http://sound.yywz123.com/qsbdcword/f/few.mp3
n.购买者,buyer,[ˈbaɪə(r)],http://sound.yywz123.com/qsbdcword/b/buyer.mp3
n.植物；工厂；vt.种植；培养；vi.种植,plant,[plɑ:nt],http://sound.yywz123.com/qsbdcword/p/plant.mp3
n.照相机，摄相机,camera,[ˈkæmərə],http://sound.yywz123.com/qsbdcword/c/camera.mp3
adj.粉红色的，桃红色的；n.粉红色，桃红色,pink,[pɪŋk],http://sound.yywz123.com/qsbdcword/p/pink.mp3
n.三明治（夹心面包片）,sandwich,[ˈsænwɪtʃ],http://sound.yywz123.com/qsbdcword/s/sandwich.mp3
n.削减，删节；切口，伤口；vt. [机] 切割；削减；缩短；刺痛；vi. [机] 切割；相交；切牌；停拍；不出席,cut,[kʌt],http://sound.yywz123.com/qsbdcword/c/cut.mp3
adv.努力地；adj.硬的；困难的,hard,[hɑ:d],http://sound.yywz123.com/qsbdcword/h/hard.mp3
n.长颈鹿,giraffe,[dʒəˈrɑ:f],http://sound.yywz123.com/qsbdcword/g/giraffe.mp3
adj.美的，美丽的；出色的，完美的,beautiful,[ˈbju:tɪfl],http://sound.yywz123.com/qsbdcword/b/beautiful.mp3
n.旅行；旅游；参观；游览,tour,[tʊə(r)],http://sound.yywz123.com/qsbdcword/t/tour.mp3
n.秋天，落下，瀑布；v.倒下，落下，来临,fall,[fɔ:l],http://sound.yywz123.com/qsbdcword/f/fall.mp3
vi.吹，吹气，打气；爆炸，爆裂；n.打，打击,blow,[bləʊ],http://sound.yywz123.com/qsbdcword/b/blow.mp3
n.头发，（动物的）毛发,hair,[heə(r)],http://sound.yywz123.com/qsbdcword/h/hair.mp3
vt. 做，制造；生产；使成为；vi. 开始；尝试；增大；n. 制造；生产量,make,[meɪk],http://sound.yywz123.com/qsbdcword/m/make.mp3
n.镜子,mirror,[ˈmɪrə(r)],http://sound.yywz123.com/qsbdcword/m/mirror.mp3
